coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
cf1a22ff-bba3-4be6-835f-e9225f98939b,f512aaf6-eef5-4602-82ff-f172d248c444,5,Always.ON România,"",9e0676c1-3de2-409e-acda-1dfec253addd,emoji,🇷🇴,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-09 15:15:30.265000
2021f1fd-b2b3-4adc-a6ab-dd997c544b6f,fad03ff3-7339-4a1d-a42b-b67848011a08,15,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-09 15:17:23.718000
4f79c6e4-3883-4a96-9e50-e4d8cdca5568,94d8e72b-cd0e-4a47-aee2-0b78438c054d,1,TETO Games,"",7e1347dc-5fbb-458b-b4cc-a631a1c31eab,"","",draft,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:28:10.694000
dd372aa3-4720-4550-8311-98cd7b70c098,94d8e72b-cd0e-4a47-aee2-0b78438c054d,2,TETO Games,"",7e1347dc-5fbb-458b-b4cc-a631a1c31eab,"","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:29:53.622000
a0748970-cb28-4a1b-bf32-a37fefa55909,11931174-9cfc-41b7-83a0-3ead37aca581,14,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,draft,"",2026-05-12 15:30:53.112000
755fb215-e5a4-45ca-8140-c0beb7ed5257,11931174-9cfc-41b7-83a0-3ead37aca581,15,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-12 15:31:04.771000
23450eb4-ebf4-4cc4-b25c-f494b9b58f6a,88726c57-12a1-48f6-bb92-1ff9ec82fe54,3,Always.ON Azərbaycan,"",0d4ab45f-afbc-4651-ba4f-9006c6fb40c8,emoji,🇦🇿,draft,"",2026-05-12 15:31:23.419000
6f7ea825-b008-46fb-b6ed-6aa3d84418f1,88726c57-12a1-48f6-bb92-1ff9ec82fe54,4,Always.ON Azərbaycan,"",0d4ab45f-afbc-4651-ba4f-9006c6fb40c8,emoji,🇦🇿,published,"",2026-05-12 15:31:33.517000
eed106eb-40db-4a41-af04-5b4a25880077,11931174-9cfc-41b7-83a0-3ead37aca581,16,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,draft,"",2026-05-12 15:33:07.346000
2cce01ac-50e7-4082-ac18-634f0f484994,11931174-9cfc-41b7-83a0-3ead37aca581,17,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-12 15:33:24.508000
2f02fb0e-0efa-4a80-9f25-e058f566e837,fad03ff3-7339-4a1d-a42b-b67848011a08,16,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",draft,"",2026-05-12 15:33:49.006000
b3fa05e9-d59c-4053-9c3f-5224d7976e42,fad03ff3-7339-4a1d-a42b-b67848011a08,17,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",published,"",2026-05-12 15:34:03.421000
a6a80469-e167-4676-9152-4acf8b5099a2,11931174-9cfc-41b7-83a0-3ead37aca581,18,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-12 15:34:59.106000
3a5ed8ff-36c7-4af6-a3b1-67d3d8d13359,f512aaf6-eef5-4602-82ff-f172d248c444,6,Always.ON România,"",9e0676c1-3de2-409e-acda-1dfec253addd,emoji,🇷🇴,draft,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 17:00:18.323000
ed95bcc6-9ba6-4ace-bad2-ec8d04061d56,f512aaf6-eef5-4602-82ff-f172d248c444,7,Always.ON România,"",9e0676c1-3de2-409e-acda-1dfec253addd,emoji,🇷🇴,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 17:00:25.172000
8ce9e6f8-1405-4fcd-95c2-cf13486ff647,11931174-9cfc-41b7-83a0-3ead37aca581,19,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,draft,"",2026-05-14 19:56:30.591000
0f9d56f9-69c0-4ac7-a43d-07a2e5395793,11931174-9cfc-41b7-83a0-3ead37aca581,20,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-14 19:56:44.064000
4c12e462-7cb0-412a-a19b-158fd8696cb0,0f09e2cf-b7aa-4fa5-827a-19bfabf1230c,5,Always.ON Polska,"",f69f06b0-4014-4ff7-800d-f89f9e35f0f1,emoji,🇵🇫,draft,"",2026-05-14 19:57:06.512000
7d422f06-987d-4625-acdd-58a24d42bbba,0f09e2cf-b7aa-4fa5-827a-19bfabf1230c,6,Always.ON Polska,"",f69f06b0-4014-4ff7-800d-f89f9e35f0f1,emoji,🇵🇫,published,"",2026-05-14 19:57:17.204000
e14fea10-c910-426b-8dae-05cb5981bbb7,94d8e72b-cd0e-4a47-aee2-0b78438c054d,3,TETO Games,"",7e1347dc-5fbb-458b-b4cc-a631a1c31eab,"","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-18 22:02:35.625000
8ddc04b1-b994-4ea8-938d-190aa1807df6,11931174-9cfc-41b7-83a0-3ead37aca581,24,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-19 05:14:27.029000
22bef451-2447-4574-b2c0-8984ebf15830,fad03ff3-7339-4a1d-a42b-b67848011a08,18,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",draft,"",2026-05-19 05:14:50.606000
1348ed79-ce47-4f00-bf00-34055e2c861a,fad03ff3-7339-4a1d-a42b-b67848011a08,19,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",published,"",2026-05-19 05:15:04.063000
f55ed90d-7c91-4ee4-94de-13d89f09fbc1,96012ef7-a1ed-47a4-9734-a8ac7ce83509,2,Canlı Yayın,"",2b112790-f3b0-4557-8663-0916695d8216,"","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-23 15:51:51.040000
9a7f504c-1b61-4ae5-a5a8-616b61aa287b,94d8e72b-cd0e-4a47-aee2-0b78438c054d,4,TETO Games,"",7e1347dc-5fbb-458b-b4cc-a631a1c31eab,"","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-26 20:42:59.204000
fc58f79a-7935-41ab-929c-f447c3c8ab6e,96012ef7-a1ed-47a4-9734-a8ac7ce83509,3,Canlı Yayın,"",2b112790-f3b0-4557-8663-0916695d8216,"","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 17:00:35.848000
